"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2016","85.64","86.30","86.44","85.44","18.47K","-1.68%"
"01/25/2016","87.10","84.63","87.14","84.48","23.66K","4.10%"
"01/22/2016","83.67","83.93","84.11","81.97","22.17K","-0.44%"
"01/21/2016","84.04","86.18","86.95","84.04","22.83K","-6.19%"
"01/20/2016","89.59","94.88","95.07","85.52","31.85K","-2.40%"
"01/19/2016","91.79","103.38","103.47","90.52","42.64K","-17.33%"
"01/18/2016","111.03","125.44","131.67","110.94","29.03K","-15.71%"
"01/15/2016","131.73","122.00","135.34","117.28","58.51K","28.49%"
"01/14/2016","102.52","100.57","102.74","99.90","32.55K","0.47%"
"01/13/2016","102.04","99.39","102.12","99.39","60.55K","3.24%"
"01/12/2016","98.84","99.57","100.00","97.86","40.83K","-0.25%"
"01/11/2016","99.09","99.80","100.11","98.68","60.42K","-1.49%"
"01/08/2016","100.59","98.03","100.59","97.46","50.50K","0.24%"
"01/07/2016","100.35","102.48","102.48","99.61","118.17K","-1.92%"
"01/06/2016","102.31","103.98","104.10","101.37","60.78K","-0.97%"
"01/05/2016","103.31","101.90","103.51","101.59","167.47K","0.50%"
"01/04/2016","102.80","104.71","105.47","102.80","22.88K","-1.62%"
"12/30/2015","104.49","103.88","104.59","103.40","22.53K","0.76%"
"12/29/2015","103.70","102.79","104.08","102.78","37.51K","0.87%"
"12/28/2015","102.81","104.19","104.32","102.61","31.11K","-1.33%"
"12/24/2015","104.20","104.44","105.32","103.83","51.73K","-0.25%"
"12/23/2015","104.46","103.84","105.69","102.90","81.21K","0.48%"
"12/22/2015","103.96","106.92","107.26","103.62","69.84K","-2.80%"
"12/21/2015","106.95","106.03","108.80","105.54","52.36K","-0.21%"
"12/18/2015","107.18","105.56","107.41","105.15","40.24K","1.23%"
"12/17/2015","105.88","103.09","105.88","102.54","68.73K","4.06%"
"12/16/2015","101.75","100.03","102.71","99.80","83.30K","2.59%"
"12/15/2015","99.18","99.58","100.60","98.27","115.64K","0.65%"
"12/14/2015","98.54","97.49","98.90","97.03","66.65K","-0.20%"
"12/11/2015","98.74","99.32","100.54","98.08","104.61K","-0.52%"
"12/10/2015","99.26","99.84","100.02","97.51","96.40K","-0.33%"
"12/09/2015","99.59","97.23","99.62","97.15","35.44K","2.14%"
"12/08/2015","97.50","99.47","99.48","96.31","17.45K","-1.96%"
"12/07/2015","99.45","101.74","101.86","99.42","15.78K","-1.84%"
"12/04/2015","101.31","101.78","102.60","100.61","25.64K","-0.90%"
"12/03/2015","102.23","101.71","102.69","101.06","20.83K","0.07%"
"12/02/2015","102.16","103.39","103.79","101.83","20.38K","-1.00%"
"12/01/2015","103.19","104.04","104.70","102.33","17.42K","-1.51%"
"11/30/2015","104.77","105.96","105.96","104.04","22.24K","-1.44%"
"11/27/2015","106.30","107.54","108.10","106.30","22.38K","-0.69%"
"11/26/2015","107.04","107.84","107.84","106.56","22.28K","-0.19%"
"11/25/2015","107.24","107.75","108.15","107.12","34.49K","-0.32%"
"11/24/2015","107.58","107.01","107.66","106.83","49.36K","0.51%"
"11/23/2015","107.03","107.09","108.26","106.98","81.34K","0.23%"
"11/20/2015","106.78","105.05","106.98","105.03","44.36K","1.86%"
"11/19/2015","104.83","104.52","105.50","104.37","30.46K","0.84%"
"11/18/2015","103.96","104.73","105.03","103.83","21.21K","-0.55%"
"11/17/2015","104.54","103.87","104.57","103.64","20.52K","1.33%"
