"Date","Price","Open","High","Low","Change %"
"Aug 13, 2017","1.048","1.048","1.048","1.048","-0.19%"
"Aug 11, 2017","1.050","1.071","1.071","1.048","0.00%"
"Aug 10, 2017","1.050","1.089","1.089","1.050","-3.58%"
"Aug 09, 2017","1.089","1.089","1.089","1.089","3.71%"
"Aug 08, 2017","1.050","1.089","1.089","1.050","5.00%"
"Aug 07, 2017","1.000","1.089","1.089","1.001","-9.99%"
"Aug 06, 2017","1.111","1.111","1.111","1.111","0.09%"
"Aug 04, 2017","1.110","1.111","1.111","1.111","0.00%"
"Aug 03, 2017","1.110","1.111","1.111","1.111","0.00%"
"Aug 02, 2017","1.110","1.089","1.111","1.089","11.00%"
"Aug 01, 2017","1.000","1.080","1.080","1.002","2.04%"
"Jul 31, 2017","0.980","1.070","1.070","0.979","-8.50%"
"Jul 30, 2017","1.071","1.071","1.071","1.071","0.00%"
"Jul 29, 2017","1.071","1.071","1.071","1.071","0.09%"
"Jul 28, 2017","1.070","1.071","1.071","1.071","0.00%"
"Jul 27, 2017","1.070","1.072","1.072","1.072","3.88%"
"Jul 26, 2017","1.030","1.072","1.072","1.028","0.00%"
"Jul 25, 2017","1.030","1.019","1.028","1.019","3.00%"
"Jul 24, 2017","1.000","1.020","1.020","1.001","0.20%"
"Jul 23, 2017","0.998","0.998","0.998","0.998","-0.20%"
"Jul 21, 2017","1.000","1.030","1.030","0.998","0.00%"
"Jul 20, 2017","1.000","1.028","1.059","1.002","0.00%"
"Jul 19, 2017","1.000","1.028","1.028","1.002","-2.91%"
"Jul 18, 2017","1.030","0.958","1.028","0.958","2.90%"
"Jul 17, 2017","1.001","1.001","1.001","1.001","0.30%"
"Jul 16, 2017","0.998","0.998","0.998","0.998","-0.20%"
"Jul 14, 2017","1.000","1.120","1.120","0.998","-0.99%"
"Jul 13, 2017","1.010","1.010","1.010","1.010","-10.62%"
"Jul 12, 2017","1.130","1.128","1.128","1.128","10.78%"
"Jul 11, 2017","1.020","1.019","1.019","1.019","3.03%"
"Jul 10, 2017","0.990","1.038","1.038","0.992","0.10%"
"Jul 09, 2017","0.989","0.989","0.989","0.989","-0.10%"
"Jul 07, 2017","0.990","0.989","0.989","0.989","0.00%"
"Jul 06, 2017","0.990","1.041","1.041","0.989","0.00%"
"Jul 05, 2017","0.990","0.989","0.989","0.989","0.00%"
"Jul 04, 2017","0.990","1.072","1.072","0.989","4.21%"
"Jul 03, 2017","0.950","0.979","0.979","0.951","0.21%"
"Jul 02, 2017","0.948","0.948","0.948","0.948","0.00%"
"Jul 01, 2017","0.948","0.948","0.948","0.948","-0.21%"
"Jun 30, 2017","0.950","0.980","0.980","0.948","0.00%"
"Jun 29, 2017","0.950","0.980","0.980","0.949","2.15%"
"Jun 28, 2017","0.930","0.958","0.958","0.932","0.00%"
"Jun 27, 2017","0.930","0.972","0.972","0.930","0.22%"
"Jun 26, 2017","0.928","0.928","0.928","0.928","0.00%"
"Jun 25, 2017","0.928","0.928","0.928","0.928","-0.22%"
"Jun 23, 2017","0.930","0.969","0.969","0.928","0.00%"
"Jun 22, 2017","0.930","0.932","0.932","0.932","0.00%"
"Jun 21, 2017","0.930","0.932","0.932","0.932","0.00%"
"Jun 20, 2017","0.930","0.932","0.932","0.932","-2.11%"
"Jun 19, 2017","0.950","0.969","0.969","0.951","0.21%"
"Jun 18, 2017","0.948","0.948","0.948","0.948","0.00%"
"Jun 16, 2017","0.948","0.949","0.949","0.948","-0.21%"
"Jun 15, 2017","0.950","0.932","0.949","0.932","2.15%"
"Jun 14, 2017","0.930","0.980","0.980","0.932","0.00%"
"Jun 13, 2017","0.930","0.932","0.980","0.932","0.00%"
"Jun 12, 2017","0.930","0.961","0.961","0.930","-0.21%"
"Jun 11, 2017","0.932","0.932","0.932","0.932","0.22%"
"Jun 09, 2017","0.930","0.958","0.958","0.932","0.00%"
"Jun 08, 2017","0.930","0.959","0.959","0.929","0.00%"
"Jun 07, 2017","0.930","0.950","0.950","0.929","0.00%"
"Jun 06, 2017","0.930","0.950","0.950","0.929","3.33%"
"Jun 05, 2017","0.900","0.928","0.928","0.901","0.11%"
"Jun 04, 2017","0.899","0.899","0.899","0.899","-0.11%"
"Jun 02, 2017","0.900","0.930","0.930","0.899","0.00%"
"Jun 01, 2017","0.900","0.932","0.932","0.901","0.00%"
"May 31, 2017","0.900","0.901","0.901","0.901","0.00%"
"May 30, 2017","0.900","0.941","0.941","0.901","0.00%"
"May 29, 2017","0.900","0.919","0.919","0.901","0.11%"
"May 28, 2017","0.899","0.899","0.899","0.899","-0.11%"
"May 26, 2017","0.900","0.921","0.921","0.899","0.00%"
"May 25, 2017","0.900","0.919","0.919","0.901","0.00%"
"May 24, 2017","0.900","0.919","0.919","0.901","0.00%"
"May 23, 2017","0.900","0.919","0.919","0.901","0.00%"
"May 22, 2017","0.900","0.928","0.928","0.901","0.11%"
"May 21, 2017","0.899","0.899","0.899","0.899","-0.11%"
"May 19, 2017","0.900","0.948","0.948","0.899","0.00%"
"May 18, 2017","0.900","0.910","0.910","0.901","0.00%"
"May 17, 2017","0.900","0.932","0.932","0.901","0.00%"
"May 16, 2017","0.900","0.932","0.932","0.901","0.00%"
