"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2017","249.48","248.79","249.55","248.75","31.06B","-0.18%"
"08/24/2017","249.94","249.10","250.26","249.10","32.66B","0.33%"
"08/23/2017","249.13","248.82","250.10","248.82","35.39B","0.12%"
"08/22/2017","248.82","248.94","249.94","248.70","36.06B","-0.19%"
"08/21/2017","249.29","248.88","249.60","248.83","31.05B","0.15%"
"08/18/2017","248.92","250.32","250.32","248.10","28.10B","-0.73%"
"08/17/2017","250.76","248.07","251.04","248.07","31.58B","1.09%"
"08/16/2017","248.06","247.96","249.44","246.92","24.09B","0.04%"
"08/15/2017","247.97","247.46","248.75","247.46","23.32B","0.21%"
"08/14/2017","247.44","249.69","250.20","247.15","34.62B","-0.89%"
"08/11/2017","249.66","250.08","250.08","248.48","28.05B","-0.09%"
"08/10/2017","249.89","252.22","252.45","249.06","32.12B","-0.97%"
"08/09/2017","252.34","254.24","254.38","252.20","25.53B","-0.75%"
"08/08/2017","254.24","253.52","254.24","253.36","30.15B","0.28%"
"08/07/2017","253.54","253.83","254.23","253.16","28.96B","-0.13%"
"08/04/2017","253.87","255.22","255.45","253.68","29.73B","-0.53%"
"08/03/2017","255.22","255.65","255.73","254.33","22.35B","-0.30%"
"08/02/2017","255.98","255.88","256.51","255.31","24.47B","0.02%"
"08/01/2017","255.92","255.07","255.92","254.98","28.45B","0.24%"
"07/31/2017","255.31","255.77","255.98","254.69","22.89B","-0.18%"
"07/28/2017","255.77","256.45","256.54","255.52","26.91B","-0.27%"
"07/27/2017","256.45","256.32","257.05","256.26","27.40B","-0.68%"
"07/26/2017","258.21","258.75","259.14","258.05","30.20B","-0.54%"
"07/25/2017","259.62","259.57","260.13","259.12","29.34B","-0.34%"
"07/24/2017","260.51","261.36","261.47","260.08","27.09B","-0.31%"
"07/21/2017","261.33","261.54","261.71","260.95","21.37B","-0.08%"
"07/20/2017","261.55","262.16","262.69","261.43","25.75B","-0.27%"
"07/19/2017","262.25","261.88","262.41","261.45","34.09B","-0.11%"
"07/18/2017","262.55","262.67","263.27","262.47","44.98B","-0.51%"
"07/17/2017","263.90","263.11","264.28","263.11","43.45B","0.26%"
"07/14/2017","263.22","263.34","263.91","262.92","32.64B","-0.06%"
"07/13/2017","263.38","262.34","263.62","262.34","41.81B","0.06%"
"07/12/2017","263.21","263.31","264.17","263.08","28.95B","-0.03%"
"07/11/2017","263.28","262.72","263.63","262.53","26.67B","0.22%"
"07/10/2017","262.70","263.78","264.39","262.70","26.70B","-0.50%"
"07/07/2017","264.03","264.92","264.92","263.60","24.46B","-0.34%"
"07/06/2017","264.93","266.50","266.57","264.75","26.38B","-0.70%"
"07/05/2017","266.79","266.44","267.25","265.27","31.51B","0.13%"
"07/04/2017","266.45","265.58","267.68","265.58","37.73B","0.32%"
"07/03/2017","265.61","264.96","265.74","264.57","32.28B","0.22%"
"06/30/2017","265.03","266.89","266.89","264.07","30.54B","-0.70%"
"06/29/2017","266.90","267.01","267.63","266.54","34.14B","-0.04%"
"06/28/2017","267.00","268.12","268.12","266.81","29.85B","-0.54%"
"06/27/2017","268.46","267.21","268.58","266.85","31.68B","0.47%"
"06/26/2017","267.20","265.39","267.44","265.39","36.51B","0.68%"
"06/23/2017","265.39","266.90","267.02","265.39","38.75B","-0.57%"
"06/22/2017","266.90","267.05","267.07","265.87","34.96B","-0.11%"
"06/21/2017","267.19","264.30","267.81","263.92","42.07B","1.09%"
"06/20/2017","264.30","265.00","265.48","264.08","59.26B","-0.22%"
"06/19/2017","264.87","263.52","265.11","263.52","51.62B","0.52%"
"06/16/2017","263.49","262.14","263.49","261.86","29.40B","0.51%"
"06/15/2017","262.16","262.53","262.71","261.25","25.34B","-0.12%"
"06/14/2017","262.48","264.11","264.26","262.06","33.08B","-0.58%"
"06/13/2017","264.02","263.25","264.08","263.25","23.96B","0.29%"
"06/12/2017","263.26","263.86","263.86","263.04","21.02B","-0.22%"
"06/09/2017","263.85","265.01","265.51","263.71","26.71B","-0.42%"
"06/08/2017","264.95","264.34","264.95","263.73","26.26B","0.22%"
"06/07/2017","264.36","264.49","264.99","263.98","33.09B","-0.03%"
"06/06/2017","264.44","264.66","264.97","264.10","32.93B","-0.08%"
"06/05/2017","264.65","263.86","264.65","263.86","44.15B","0.30%"
"06/03/2017","263.87","262.89","264.05","262.89","23.54B","0.32%"
"06/02/2017","263.02","262.20","263.35","262.20","28.48B","0.32%"
"06/01/2017","262.19","262.04","262.48","261.79","29.13B","0.10%"
"05/31/2017","261.92","262.22","262.82","261.11","44.95B","-0.12%"
"05/26/2017","262.23","261.84","262.23","261.36","27.51B","0.16%"
"05/25/2017","261.81","261.31","262.04","261.10","35.46B","0.19%"
"05/24/2017","261.31","261.41","261.57","260.98","25.46B","-0.04%"
"05/23/2017","261.42","260.66","261.74","260.55","24.28B","0.26%"
"05/22/2017","260.73","260.05","261.09","260.05","23.22B","0.26%"
"05/19/2017","260.05","259.67","260.05","259.35","22.66B","0.12%"
"05/18/2017","259.73","260.14","260.14","258.44","23.27B","-0.31%"
"05/17/2017","260.55","260.21","260.76","259.77","31.84B","0.14%"
"05/16/2017","260.19","260.32","260.93","259.47","32.28B","-0.06%"
"05/15/2017","260.34","260.77","260.89","259.79","34.51B","-0.18%"
"05/12/2017","260.81","261.55","261.82","260.46","28.82B","-0.27%"
"05/11/2017","261.52","261.24","262.00","260.34","28.64B","0.13%"
"05/10/2017","261.18","260.00","261.18","259.93","26.06B","0.41%"
"05/09/2017","260.11","262.43","262.62","259.62","34.29B","-0.88%"
"05/08/2017","262.41","262.99","263.57","261.74","28.89B","-0.21%"
"05/05/2017","262.95","264.52","264.59","262.45","23.71B","-0.59%"
"05/04/2017","264.52","264.30","264.54","263.88","30.51B","0.09%"
"05/03/2017","264.28","263.93","264.84","263.93","29.39B","0.13%"
"05/02/2017","263.94","263.88","264.64","263.30","25.45B","0.02%"
"04/28/2017","263.88","264.38","264.54","263.28","30.81B","-0.19%"
"04/27/2017","264.39","264.36","265.00","263.69","31.64B","0.01%"
"04/26/2017","264.36","263.64","264.81","263.64","33.82B","0.27%"
"04/25/2017","263.66","261.35","263.66","261.35","26.72B","0.88%"
"04/24/2017","261.36","261.50","262.27","260.70","21.93B","-0.06%"
"04/21/2017","261.51","261.96","263.55","261.46","25.99B","-0.17%"
"04/20/2017","261.96","260.97","262.91","260.21","36.21B","0.38%"
"04/19/2017","260.96","263.95","263.95","259.19","33.41B","-1.13%"
"04/18/2017","263.94","261.19","263.94","261.19","45.65B","1.05%"
"04/17/2017","261.19","261.81","262.82","259.61","41.53B","-0.25%"
"04/14/2017","261.84","265.33","265.33","261.45","41.44B","-1.32%"
"04/13/2017","265.33","264.37","265.56","264.31","35.04B","0.37%"
"04/12/2017","264.36","264.46","264.46","262.04","52.61B","-0.04%"
"04/11/2017","264.47","267.56","267.77","264.47","53.92B","-1.17%"
"04/10/2017","267.60","268.34","269.02","266.58","46.37B","-0.30%"
"04/07/2017","268.41","269.76","270.15","267.06","48.34B","-0.50%"
"04/06/2017","269.77","269.76","270.33","269.57","40.19B","0.01%"
"04/05/2017","269.75","269.73","270.41","268.97","51.91B","0.01%"
"03/31/2017","269.73","269.52","270.22","268.95","46.04B","0.06%"
"03/30/2017","269.57","269.85","270.46","269.57","39.29B","-0.10%"
"03/29/2017","269.84","269.86","270.64","268.47","37.62B","-0.01%"
"03/28/2017","269.86","269.90","271.75","266.53","56.59B","0.07%"
"03/27/2017","269.66","272.32","272.95","269.43","69.84B","-0.98%"
"03/24/2017","272.34","272.11","273.63","271.26","89.70B","0.32%"
"03/23/2017","271.48","268.07","272.73","268.07","97.85B","1.32%"
"03/22/2017","267.95","265.45","267.95","263.21","78.56B","0.93%"
"03/21/2017","265.48","264.94","265.48","264.17","44.94B","0.21%"
"03/20/2017","264.93","265.15","266.01","264.36","52.51B","-0.09%"
"03/17/2017","265.17","262.25","265.17","262.25","73.57B","1.11%"
"03/16/2017","262.25","260.54","262.44","260.54","38.35B","0.66%"
"03/15/2017","260.54","260.92","261.06","260.18","29.97B","-0.15%"
"03/14/2017","260.92","260.26","261.17","259.79","37.86B","0.25%"
"03/13/2017","260.26","258.52","260.26","258.34","33.77B","0.68%"
"03/10/2017","258.51","260.18","260.47","257.10","37.63B","-0.66%"
"03/09/2017","260.22","262.05","262.13","259.53","38.69B","-0.70%"
"03/08/2017","262.06","262.74","262.86","261.75","26.70B","-0.19%"
"03/07/2017","262.56","260.89","262.56","260.83","33.39B","0.64%"
"03/06/2017","260.89","261.76","262.03","260.29","38.63B","-0.33%"
"03/03/2017","261.75","260.24","261.80","259.72","56.23M","0.58%"
"03/02/2017","260.25","260.41","262.35","259.39","52.21M","0.13%"
"03/01/2017","259.90","260.12","261.89","259.75","50.64M","-0.08%"
"02/24/2017","260.10","260.01","260.30","259.00","51.37M","0.03%"
"02/23/2017","260.01","259.78","260.90","259.64","64.62M","0.10%"
"02/22/2017","259.76","258.06","260.72","258.06","46.58M","0.66%"
"02/21/2017","258.06","256.85","258.12","256.45","37.95M","0.47%"
"02/20/2017","256.85","259.14","259.75","256.84","37.17M","-0.89%"
"02/18/2017","259.15","259.30","260.33","258.95","28.77M","-0.05%"
