"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2018","209.01","208.65","210.55","207.42","110.29M","-0.71%"
"06/14/2018","210.50","210.65","211.69","209.13","84.43M","-1.03%"
"06/13/2018","212.69","209.56","212.77","208.91","162.39M","1.96%"
"06/12/2018","208.61","206.35","209.39","206.32","144.51M","1.18%"
"06/11/2018","206.17","210.18","210.26","206.17","75.59M","-1.53%"
"06/08/2018","209.38","212.23","213.24","209.38","91.36M","-1.19%"
"06/07/2018","211.90","211.45","215.68","210.91","149.54M","0.96%"
"06/06/2018","209.88","208.04","211.09","207.65","276.01M","1.06%"
"06/05/2018","207.67","206.41","208.49","205.44","151.62M","1.05%"
"06/04/2018","205.51","202.28","206.33","201.65","128.36M","2.40%"
"06/01/2018","200.69","196.73","201.65","196.73","107.62M","1.56%"
"05/31/2018","197.60","201.94","202.29","195.79","217.62M","-1.27%"
"05/30/2018","200.14","221.37","221.37","199.99","204.13M","-10.87%"
"05/28/2018","224.56","226.82","227.92","223.92","60.67M","-1.19%"
"05/25/2018","227.27","225.35","229.09","225.20","77.88M","1.09%"
"05/24/2018","224.83","228.12","228.51","222.25","121.36M","-1.18%"
"05/23/2018","227.52","230.90","231.26","226.80","113.88M","-1.37%"
"05/22/2018","230.69","228.26","233.40","228.26","161.84M","1.55%"
"05/21/2018","227.17","228.34","228.57","224.94","191.79M","-0.09%"
"05/18/2018","227.38","238.54","238.54","226.56","283.77M","-4.16%"
"05/17/2018","237.25","248.36","248.36","237.25","291.49M","-4.05%"
"05/16/2018","247.26","247.38","248.42","246.07","199.31M","-0.11%"
"05/15/2018","247.52","241.60","250.14","240.49","301.84M","1.12%"
"05/14/2018","244.78","258.19","258.19","242.70","435.82M","-12.93%"
"05/10/2018","281.13","281.13","281.13","281.13","","0.00%"
"05/08/2018","281.13","277.10","281.38","276.45","84.39M","1.29%"
"05/07/2018","277.55","280.64","280.67","277.48","52.22M","-1.15%"
"05/04/2018","280.77","280.67","281.14","279.05","56.59M","-0.08%"
"05/03/2018","280.99","281.37","281.86","280.07","33.11M","-0.17%"
"05/02/2018","281.48","284.16","284.52","279.88","44.76M","-2.20%"
"04/30/2018","287.81","283.00","287.81","280.34","35.98M","2.42%"
"04/27/2018","281.02","277.80","281.71","277.80","34.50M","0.45%"
"04/26/2018","279.76","276.26","279.76","276.13","45.66M","1.70%"
"04/25/2018","275.08","277.10","277.53","274.39","64.02M","-1.03%"
"04/24/2018","277.95","279.59","280.80","277.75","65.27M","-0.75%"
"04/23/2018","280.05","283.79","284.99","279.62","42.14M","-1.50%"
"04/20/2018","284.32","287.82","287.82","282.78","81.58M","-0.86%"
"04/19/2018","286.80","288.19","288.19","284.91","73.37M","-0.35%"
"04/18/2018","287.80","286.47","288.52","286.14","49.87M","0.58%"
"04/17/2018","286.13","288.31","289.30","285.78","64.34M","-0.92%"
"04/16/2018","288.79","287.74","288.79","286.89","52.06M","0.23%"
"04/13/2018","288.12","288.54","290.21","288.12","85.15M","0.08%"
"04/12/2018","287.90","290.58","290.81","286.89","42.11M","-0.99%"
"04/11/2018","290.79","291.66","293.67","288.77","135.29M","-0.13%"
"04/10/2018","291.16","276.59","291.16","276.27","124.23M","5.29%"
"04/09/2018","276.52","270.06","276.52","270.06","88.01M","2.29%"
"04/06/2018","270.34","273.44","273.59","268.66","87.16M","-0.38%"
"04/05/2018","271.37","268.48","272.34","268.48","87.20M","1.97%"
"04/04/2018","266.13","281.04","281.66","266.13","125.89M","-5.36%"
"04/03/2018","281.19","282.68","282.77","280.40","57.02M","-0.74%"
"04/02/2018","283.29","284.09","285.87","283.29","76.35M","-0.32%"
"03/30/2018","284.19","284.96","285.17","282.84","78.28M","-0.26%"
"03/29/2018","284.92","283.81","285.78","282.73","127.50M","0.47%"
"03/28/2018","283.58","286.94","286.94","283.39","60.27M","-1.34%"
"03/27/2018","287.44","289.31","290.08","286.89","61.26M","-0.55%"
"03/26/2018","289.02","289.25","289.55","286.41","69.96M","-0.34%"
"03/23/2018","290.00","286.90","290.00","285.16","101.84M","0.16%"
"03/22/2018","289.55","289.53","290.20","288.00","55.59M","-0.15%"
"03/21/2018","289.99","287.11","289.99","286.94","66.03M","1.08%"
"03/20/2018","286.90","287.84","288.01","286.28","74.23M","-0.61%"
"03/19/2018","288.66","289.55","289.90","287.42","86.22M","-0.67%"
"03/16/2018","290.61","289.88","291.98","289.76","75.64M","0.33%"
"03/15/2018","289.64","290.71","290.71","288.41","60.27M","-0.54%"
"03/14/2018","291.21","292.44","293.77","289.41","75.68M","-0.19%"
"03/13/2018","291.77","290.78","291.82","288.12","57.87M","0.17%"
"03/12/2018","291.28","286.98","291.28","286.98","62.15M","1.87%"
"03/09/2018","285.94","288.89","289.86","285.33","62.38M","-1.05%"
"03/08/2018","288.98","289.92","291.02","288.84","47.40M","-0.28%"
"03/07/2018","289.79","297.08","297.35","288.85","61.27M","-2.42%"
"03/06/2018","296.99","297.69","299.49","296.10","55.36M","-0.05%"
"03/05/2018","297.14","300.73","300.84","295.24","68.54M","-1.17%"
"03/02/2018","300.67","300.78","302.26","297.77","48.59M","-0.26%"
"03/01/2018","301.44","301.94","302.76","300.23","45.66M","0.11%"
"02/28/2018","301.10","307.21","307.21","301.10","62.46M","-2.44%"
"02/27/2018","308.62","309.09","310.97","307.30","56.25M","0.02%"
"02/26/2018","308.57","311.06","312.66","308.57","63.71M","-0.88%"
"02/23/2018","311.30","310.79","311.51","310.23","50.77M","0.35%"
"02/22/2018","310.20","309.94","311.13","308.73","41.22M","-0.03%"
"02/21/2018","310.28","308.63","310.28","307.69","44.38M","0.65%"
"02/20/2018","308.28","309.91","310.14","307.68","45.38M","-0.38%"
"02/19/2018","309.46","305.26","310.47","305.26","49.46M","1.61%"
"02/15/2018","304.55","304.56","306.07","304.54","16.72M","0.11%"
"02/14/2018","304.21","305.86","305.97","303.34","45.05M","-0.65%"
"02/13/2018","306.21","299.94","306.21","299.94","48.33M","2.51%"
"02/12/2018","298.71","299.24","301.06","297.22","57.78M","0.07%"
"02/09/2018","298.50","299.05","299.54","298.00","88.24M","-1.59%"
"02/08/2018","303.31","303.46","304.64","302.47","45.79M","0.08%"
"02/07/2018","303.07","305.64","309.11","301.63","111.63M","0.15%"
"02/06/2018","302.63","305.38","305.38","299.81","139.35M","-2.84%"
"02/05/2018","311.48","314.38","314.38","309.48","61.31M","-2.08%"
"02/02/2018","318.09","321.05","321.65","318.09","65.32M","-0.62%"
"01/30/2018","320.09","323.88","324.19","319.21","57.30M","-1.42%"
"01/29/2018","324.70","326.42","326.82","323.38","80.51M","-0.58%"
"01/26/2018","326.60","327.30","327.35","324.67","57.28M","-0.19%"
"01/25/2018","327.23","324.86","327.71","324.86","83.77M","0.57%"
"01/24/2018","325.36","327.02","327.84","325.26","127.10M","-0.50%"
"01/23/2018","326.99","322.30","326.99","322.30","98.35M","1.70%"
"01/22/2018","321.51","319.91","321.51","319.07","89.24M","0.79%"
"01/19/2018","318.99","318.37","319.05","316.90","99.13M","0.15%"
"01/18/2018","318.50","320.88","321.21","316.63","94.67M","-0.64%"
"01/17/2018","320.54","321.44","321.44","318.71","76.40M","-0.22%"
"01/16/2018","321.26","320.19","321.26","316.28","227.51M","0.70%"
"01/15/2018","319.03","325.11","325.55","318.96","152.80M","-1.53%"
"01/12/2018","324.00","323.43","324.08","322.25","143.02M","0.25%"
"01/11/2018","323.19","325.25","325.82","320.55","105.49M","-0.50%"
"01/10/2018","324.80","324.79","325.79","323.64","115.29M","0.08%"
"01/09/2018","324.54","326.16","326.43","323.60","122.76M","-0.26%"
"01/08/2018","325.39","321.42","325.39","321.42","194.47M","1.50%"
"01/05/2018","320.57","316.23","320.57","316.23","254.91M","1.55%"
"01/04/2018","315.67","316.62","316.89","314.94","72.20M","0.15%"
"01/03/2018","315.21","309.21","315.21","309.01","137.82M","1.82%"
"01/02/2018","309.57","311.90","312.28","308.80","46.18M","-0.95%"
"12/29/2017","312.53","310.65","312.53","308.72","49.33M","0.62%"
"12/28/2017","310.60","309.89","310.60","308.54","50.56M","0.13%"
"12/27/2017","310.21","308.18","310.21","307.47","39.95M","0.64%"
"12/26/2017","308.24","308.16","308.44","306.14","41.58M","0.04%"
"12/22/2017","308.12","305.90","308.12","303.63","44.44M","0.88%"
"12/21/2017","305.42","307.79","308.53","305.42","37.98M","-0.56%"
"12/20/2017","307.13","302.62","307.91","302.62","38.97M","1.49%"
"12/19/2017","302.61","300.44","302.86","299.42","45.46M","0.94%"
"12/18/2017","299.79","299.79","301.78","299.31","41.24M","0.37%"
"12/15/2017","298.68","299.39","300.07","297.06","51.66M","-0.17%"
"12/14/2017","299.20","297.95","300.01","297.88","75.96M","0.44%"
"12/13/2017","297.88","300.38","300.38","297.26","50.28M","-0.93%"
"12/12/2017","300.69","300.98","301.58","299.50","40.93M","0.12%"
"12/11/2017","300.34","300.76","302.05","299.65","44.64M","0.01%"
"12/08/2017","300.32","299.54","301.71","298.82","38.19M","0.22%"
"12/07/2017","299.67","302.57","302.84","298.55","43.08M","-0.98%"
"12/06/2017","302.65","304.66","304.76","301.04","44.40M","-0.77%"
"12/05/2017","305.01","305.69","305.70","302.20","40.53M","0.07%"
"12/04/2017","304.80","312.26","312.26","303.92","43.50M","-2.49%"
"11/30/2017","312.58","309.49","312.58","308.34","51.58M","1.00%"
"11/29/2017","309.49","308.16","309.49","306.91","59.10M","0.53%"
"11/28/2017","307.85","309.80","309.80","305.54","64.48M","-0.43%"
"11/27/2017","309.19","312.50","313.02","308.00","50.61M","-1.07%"
"11/24/2017","312.54","311.78","312.54","309.39","34.55M","0.32%"
"11/23/2017","311.55","310.23","312.58","310.23","47.86M","0.83%"
"11/22/2017","308.99","308.35","310.87","308.35","54.34M","0.29%"
"11/21/2017","308.10","310.92","312.13","308.10","60.10M","-0.94%"
"11/20/2017","311.03","312.54","313.73","310.40","48.68M","-0.43%"
"11/17/2017","312.36","311.47","312.40","310.86","61.32M","0.64%"
"11/16/2017","310.36","311.96","313.32","310.36","74.29M","-0.54%"
"11/15/2017","312.03","313.84","314.68","312.03","67.84M","-0.41%"
"11/14/2017","313.30","313.67","314.48","312.44","60.12M","0.00%"
"11/13/2017","313.30","316.68","316.68","312.78","81.61M","-1.04%"
"11/10/2017","316.59","317.70","318.17","316.02","58.89M","-0.40%"
"11/09/2017","317.86","319.04","319.60","317.48","82.25M","-0.24%"
"11/08/2017","318.63","319.83","319.89","317.94","109.52M","-0.15%"
"11/07/2017","319.11","325.10","325.10","318.17","111.37M","-1.72%"
"11/06/2017","324.70","324.54","324.95","323.59","86.02M","0.30%"
"11/03/2017","323.72","324.36","324.39","322.02","85.37M","-0.01%"
"11/02/2017","323.74","324.81","325.13","322.99","139.19M","-0.13%"
"11/01/2017","324.15","326.95","327.72","323.12","434.92M","-1.37%"
"10/31/2017","328.64","329.96","331.03","327.34","92.16M","-0.48%"
"10/30/2017","330.22","327.96","330.59","327.96","83.40M","0.80%"
"10/27/2017","327.59","326.64","328.48","326.16","123.85M","0.27%"
"10/26/2017","326.72","327.01","327.20","324.85","63.78M","-0.08%"
"10/25/2017","326.98","321.85","326.98","321.80","55.43M","1.83%"
"10/24/2017","321.11","324.49","324.89","320.88","66.72M","-1.02%"
"10/23/2017","324.41","325.13","325.59","323.49","38.50M","-0.20%"
"10/20/2017","325.06","324.49","325.14","323.34","52.27M","0.37%"
"10/19/2017","323.87","325.58","326.14","323.10","62.93M","-0.53%"
"10/17/2017","325.59","326.31","327.28","324.49","66.22M","0.05%"
"10/16/2017","325.44","325.96","327.75","324.52","83.72M","-0.08%"
"10/13/2017","325.70","327.24","327.91","325.13","152.99M","-0.36%"
"10/12/2017","326.88","326.96","328.66","326.42","66.65M","-0.02%"
"10/11/2017","326.96","329.33","329.46","326.74","55.59M","-0.59%"
"10/10/2017","328.90","328.82","329.30","328.35","71.21M","0.05%"
"10/09/2017","328.74","328.36","328.89","327.74","76.33M","0.13%"
"10/06/2017","328.30","326.06","328.30","325.19","86.58M","1.21%"
"10/05/2017","324.37","324.42","325.36","323.93","70.89M","0.24%"
"10/04/2017","323.60","324.55","324.85","323.02","65.29M","-0.28%"
"10/03/2017","324.50","325.64","325.67","323.60","73.33M","-0.26%"
"10/02/2017","325.35","325.60","325.69","324.20","41.02M","0.04%"
"09/29/2017","325.22","325.43","326.44","324.68","44.65M","0.21%"
"09/28/2017","324.54","325.11","326.81","324.54","72.23M","-0.10%"
"09/27/2017","324.88","324.08","325.50","323.82","38.08M","0.24%"
"09/26/2017","324.09","326.54","327.55","324.02","52.01M","-0.74%"
"09/25/2017","326.49","329.04","329.12","326.49","48.75M","-0.76%"
"09/21/2017","329.00","330.30","330.45","328.13","","-0.35%"
"09/20/2017","330.15","331.23","331.38","329.12","60.98M","-0.24%"
"09/19/2017","330.93","331.85","331.90","329.98","88.23M","-0.18%"
"09/18/2017","331.52","333.01","333.22","331.04","94.95M","-0.56%"
"09/15/2017","333.38","332.23","333.38","331.06","58.46M","0.47%"
"09/14/2017","331.82","332.98","333.69","330.84","77.47M","-0.34%"
"09/13/2017","332.96","333.56","334.34","332.35","65.82M","-0.23%"
"09/12/2017","333.73","333.12","333.94","332.36","55.69M","0.05%"
"09/11/2017","333.56","332.67","334.03","331.78","61.75M","0.63%"
"09/08/2017","331.46","333.33","333.62","331.46","50.27M","-0.70%"
"09/07/2017","333.81","330.09","333.81","329.88","73.63M","1.13%"
"09/06/2017","330.07","329.85","330.36","328.92","66.62M","0.04%"
"09/05/2017","329.94","330.16","330.44","327.45","70.56M","-0.18%"
"08/30/2017","330.52","331.20","331.42","329.44","50.13M","-0.07%"
"08/29/2017","330.74","332.82","333.72","329.93","67.76M","-1.00%"
"08/28/2017","334.08","333.47","335.45","332.76","52.57M","-0.04%"
"08/25/2017","334.21","337.07","337.17","333.83","46.85M","-0.90%"
"08/24/2017","337.24","334.24","337.24","333.80","66.50M","0.78%"
"08/23/2017","334.64","335.21","335.35","333.70","53.57M","-0.13%"
"08/22/2017","335.06","334.10","335.66","333.44","56.12M","0.37%"
"08/21/2017","333.81","335.65","335.93","333.81","32.24M","-0.51%"
"08/18/2017","335.51","334.70","335.99","333.30","42.08M","0.02%"
"08/17/2017","335.45","332.53","335.45","332.03","56.33M","1.02%"
"08/16/2017","332.07","330.94","332.25","330.72","43.90M","0.34%"
"08/15/2017","330.93","330.22","331.57","330.16","45.61M","0.46%"
"08/14/2017","329.43","330.22","331.17","329.23","36.72M","-0.19%"
"08/11/2017","330.06","333.02","333.02","328.68","60.28M","-1.05%"
"08/10/2017","333.56","335.62","335.93","333.07","44.90M","-0.52%"
"08/09/2017","335.30","335.34","335.63","334.56","38.92M","-0.10%"
"08/08/2017","335.63","335.17","335.66","333.77","58.96M","0.19%"
"08/07/2017","334.98","335.34","336.61","334.51","46.50M","0.00%"
"08/04/2017","334.99","335.19","336.88","334.69","55.23M","-0.06%"
"08/03/2017","335.18","336.88","336.90","335.04","65.77M","-0.42%"
"08/02/2017","336.58","336.30","336.89","335.29","34.09M","0.21%"
"08/01/2017","335.86","336.63","336.95","335.14","40.66M","-0.05%"
"07/31/2017","336.02","336.61","337.44","335.62","49.94M","-0.35%"
"07/28/2017","337.21","338.13","338.52","336.44","41.74M","-0.22%"
"07/27/2017","337.96","336.87","338.25","336.68","55.49M","0.43%"
"07/26/2017","336.51","335.78","337.36","334.84","54.77M","0.27%"
"07/25/2017","335.60","336.67","337.82","335.11","57.38M","-0.30%"
"07/24/2017","336.62","335.64","336.80","334.90","74.33M","0.50%"
"07/21/2017","334.93","334.29","335.05","332.93","76.65M","0.34%"
"07/20/2017","333.81","334.98","335.57","333.20","73.43M","-0.21%"
"07/19/2017","334.51","334.80","336.20","334.02","98.48M","0.16%"
"07/18/2017","333.98","333.63","334.72","333.26","119.84M","0.21%"
"07/17/2017","333.27","333.44","334.72","332.36","63.35M","0.11%"
"07/14/2017","332.92","334.46","335.02","332.35","100.13M","-0.44%"
"07/13/2017","334.38","335.47","336.24","334.24","55.29M","-0.25%"
"07/12/2017","335.21","333.57","336.09","333.57","44.81M","0.02%"
"07/11/2017","335.13","338.42","338.50","334.66","61.21M","-1.02%"
"07/10/2017","338.57","338.75","339.52","338.29","38.28M","-0.14%"
"07/07/2017","339.03","339.65","339.83","338.58","46.59M","-0.21%"
"07/06/2017","339.74","341.68","341.68","339.24","54.70M","-0.48%"
"07/05/2017","341.37","339.67","341.37","338.96","54.65M","0.57%"
"07/04/2017","339.45","340.37","340.37","338.84","67.69M","-0.21%"
"07/03/2017","340.17","339.50","340.77","339.23","75.94M","0.08%"
"06/30/2017","339.91","341.36","341.37","338.98","67.78M","-0.42%"
"06/29/2017","341.35","339.07","341.51","338.58","60.78M","0.75%"
"06/28/2017","338.81","337.66","339.05","335.94","43.09M","0.32%"
"06/23/2017","337.74","338.48","339.19","337.72","45.62M","-0.29%"
"06/22/2017","338.73","337.45","338.86","337.45","54.14M","0.47%"
"06/21/2017","337.15","337.47","337.90","336.46","61.74M","-0.17%"
"06/20/2017","337.71","337.74","339.14","337.10","61.13M","-0.04%"
"06/19/2017","337.85","339.71","340.77","336.99","61.26M","-0.59%"
"06/16/2017","339.86","340.18","341.01","339.50","63.66M","-0.03%"
"06/15/2017","339.96","340.55","340.63","339.12","67.58M","-0.05%"
"06/14/2017","340.13","339.69","340.45","338.95","83.19M","0.42%"
"06/13/2017","338.72","339.93","340.92","338.27","66.20M","-0.22%"
"06/09/2017","339.48","339.24","339.92","338.02","55.68M","0.20%"
"06/08/2017","338.81","338.37","339.32","337.74","69.88M","0.17%"
"06/07/2017","338.23","338.16","339.03","337.68","54.62M","-0.12%"
"06/06/2017","338.62","341.58","341.72","337.88","72.86M","-0.81%"
