"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2022","2,012.48","2,016.89","2,017.57","1,995.56","","0.68%"
"04/04/2022","1,998.96","1,997.79","2,002.44","1,987.08","","1.20%"
"04/01/2022","1,975.34","1,973.71","1,986.86","1,954.86","","-0.97%"
"03/31/2022","1,994.61","2,008.64","2,019.46","1,994.61","","-1.75%"
"03/30/2022","2,030.22","2,036.54","2,046.24","2,013.52","","-1.02%"
"03/29/2022","2,051.19","2,048.92","2,058.13","2,037.26","","-0.16%"
"03/28/2022","2,054.56","2,062.96","2,066.17","2,044.99","","-0.07%"
"03/25/2022","2,055.96","2,054.03","2,073.77","2,045.67","","0.57%"
"03/24/2022","2,044.37","2,026.02","2,048.68","2,010.74","","-0.01%"
"03/23/2022","2,044.67","2,017.38","2,048.83","2,007.98","","2.87%"
"03/22/2022","1,987.67","1,985.34","1,992.25","1,977.87","","0.36%"
"03/18/2022","1,980.50","1,965.05","1,980.50","1,964.03","","1.49%"
"03/17/2022","1,951.38","1,947.86","1,954.46","1,918.17","","2.23%"
"03/16/2022","1,908.87","1,904.38","1,915.88","1,892.75","","0.61%"
"03/15/2022","1,897.39","1,873.90","1,908.77","1,873.90","","1.27%"
"03/14/2022","1,873.58","1,870.21","1,887.31","1,865.41","","1.99%"
"03/11/2022","1,837.10","1,859.83","1,869.02","1,827.62","","-2.25%"
"03/10/2022","1,879.40","1,832.75","1,882.01","1,832.73","","4.32%"
"03/09/2022","1,801.60","1,786.81","1,830.31","1,783.56","","1.55%"
"03/08/2022","1,774.08","1,791.29","1,807.75","1,768.56","","-1.56%"
"03/07/2022","1,802.28","1,817.90","1,819.43","1,782.61","","-2.59%"
"03/04/2022","1,850.15","1,886.55","1,886.55","1,839.86","","-1.85%"
"03/03/2022","1,885.09","1,882.01","1,889.97","1,869.70","","1.05%"
"03/02/2022","1,865.52","1,892.87","1,892.98","1,861.42","","-2.90%"
"03/01/2022","1,921.29","1,934.89","1,941.39","1,919.55","","0.15%"
"02/28/2022","1,918.47","1,906.94","1,918.47","1,895.23","","0.47%"
"02/25/2022","1,909.53","1,879.31","1,914.10","1,867.68","","2.50%"
"02/24/2022","1,862.89","1,893.21","1,896.35","1,844.83","","-1.74%"
"02/22/2022","1,895.87","1,901.26","1,915.22","1,883.52","","-1.16%"
"02/21/2022","1,918.08","1,912.06","1,923.77","1,897.03","","-0.55%"
"02/18/2022","1,928.72","1,939.39","1,948.60","1,914.27","","-0.69%"
"02/17/2022","1,942.15","1,945.08","1,959.30","1,926.81","","-1.45%"
"02/16/2022","1,970.74","2,054.62","2,057.04","1,970.74","","-3.02%"
"02/15/2022","2,032.21","2,069.01","2,084.27","2,023.66","","-1.00%"
