Date,Price,Open,High,Low,Vol.,Change %
12/20/2021,1956.37,"2,003.31","2,003.31","1,956.37",,-3.34%
12/17/2021,2024.07,"2,044.48","2,054.43","2,021.03",,-1.82%
12/16/2021,2061.52,"2,085.50","2,094.67","2,058.13",,-0.03%
12/15/2021,2062.18,"2,034.06","2,068.95","2,034.06",,0.75%
12/14/2021,2046.79,"2,074.02","2,074.02","2,035.48",,-0.55%
12/13/2021,2058.21,"2,117.91","2,128.11","2,056.24",,-1.82%
12-10-21,2096.47,"2,124.89","2,139.15","2,091.32",,-2.13%
12-09-21,2142.12,"2,167.06","2,174.93","2,138.60",,-0.90%
12-08-21,2161.50,"2,174.67","2,174.67","2,141.38",,-1.22%
12-07-21,2188.17,"2,129.45","2,188.81","2,129.45",,3.95%
12-06-21,2104.94,"2,104.49","2,114.60","2,079.86",,-1.71%
12-03-21,2141.65,"2,081.15","2,141.65","2,069.86",,3.78%
12-02-21,2063.69,"2,087.73","2,090.98","2,061.48",,-0.79%
12-01-21,2080.11,"2,120.01","2,120.01","2,074.13",,-0.34%
11/30/2021,2087.14,"2,166.72","2,174.02","2,087.14",,-2.24%
11/29/2021,2134.88,"2,158.31","2,181.51","2,128.24",,-2.35%
11/26/2021,2186.30,"2,243.22","2,246.15","2,172.59",,-3.07%
11/25/2021,2255.46,"2,254.96","2,264.82","2,245.34",,0.92%
11/24/2021,2234.99,"2,263.49","2,285.96","2,227.43",,-2.03%
11/22/2021,2281.27,"2,259.43","2,282.16","2,252.24",,-0.31%
11/19/2021,2288.40,"2,283.60","2,300.20","2,277.62",,0.02%
11/18/2021,2287.89,"2,285.13","2,293.75","2,264.27",,-0.01%
11/17/2021,2288.17,"2,303.19","2,313.36","2,275.43",,-1.42%
11/16/2021,2321.15,"2,298.37","2,345.42","2,298.37",,0.92%
11/15/2021,2299.88,"2,335.58","2,335.58","2,292.84",,-1.27%
11-12-21,2329.40,"2,297.23","2,339.54","2,297.23",,1.96%
11-11-21,2284.54,"2,282.71","2,299.88","2,273.27",,0.30%
11-10-21,2277.64,"2,304.42","2,309.62","2,265.35",,-0.93%
11-09-21,2299.01,"2,347.69","2,351.28","2,297.00",,-2.19%
11-08-21,2350.54,"2,340.27","2,373.86","2,329.70",,0.79%
11-05-21,2332.12,"2,355.71","2,365.88","2,316.67",,-0.44%
